label,name,n_studies,min,mean,max,std
1,C1,81,34952,225836.0,948188,135985.6
2,C2,81,40867,284287.5,1158180,165651.8
3,C3,81,29754,190388.7,723680,109612.7
4,C4,81,28912,192353.5,735445,114373.4
5,C5,81,28346,207220.0,804636,123015.1
6,C6,81,34804,228354.3,915168,135776.0
7,C7,81,42904,284446.6,988400,158570.1
8,T1,81,57060,357450.9,1182860,201694.1
9,T2,80,54,308106.2,1197244,217217.4
10,T3,74,21,174934.7,1148084,206604.5
11,T4,34,2,39507.5,574517,109292.2
12,T5,13,1,541.8,3463,934.3
13,T6,8,5,2539.2,14250,4598.1
14,T7,3,3,39.7,110,49.7
